"Incident: Incident Number","Subject","Incident Date/Time","City","Country","Description","NC4 Incident","Primary Type","Incident Status","Market","Philips Site or Building","Management Level"
"INC-0880","Meteorological: Tornado Warning","","Multiple locations","USA","Description for target area(s):
 
Florida:
Lake, Orange
 
The National Weather Service in Melbourne has issued a
 
* Tornado Warning for...
South central Lake County in east central Florida...
Southwestern Orange County in east central Florida...
 
* Until 830 AM EST.
 
* At 801 AM EST, a severe thunderstorm capable of producing a tornado
was located over Lake Louisa, or 8 miles southwest of Winter
Garden, moving northeast at 40 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Winter Garden and Windermere around 810 AM EST.
Apopka, Ocoee and Orlovista around 820 AM EST.
Lockhart and Pine Hills around 830 AM EST.
 
Other locations impacted by this tornadic thunderstorm include Lake
Butler.
 
TAKE COVER NOW! Move to an interior room on the lowest floor of a
sturdy building. Avoid windows. If you are outdoors, in a mobile
home, or in a vehicle, move to the closest substantial shelter and
protect yourself from flying debris.","Meteorological: Tornado Warning","Meteorological (Tornado, Hurricane, Floods)","Closed","","",""
"INC-0881","Meteorological: Tornado Warning","","Multiple locations","USA","Description for target area(s):
 
Florida:
Lake, Orange
 
The National Weather Service in Melbourne has issued a
 
* Tornado Warning for...
South central Lake County in east central Florida...
Southwestern Orange County in east central Florida...
 
* Until 830 AM EST.
 
* At 801 AM EST, a severe thunderstorm capable of producing a tornado
was located over Lake Louisa, or 8 miles southwest of Winter
Garden, moving northeast at 40 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Winter Garden and Windermere around 810 AM EST.
Apopka, Ocoee and Orlovista around 820 AM EST.
Lockhart and Pine Hills around 830 AM EST.
 
Other locations impacted by this tornadic thunderstorm include Lake
Butler.
 
TAKE COVER NOW! Move to an interior room on the lowest floor of a
sturdy building. Avoid windows. If you are outdoors, in a mobile
home, or in a vehicle, move to the closest substantial shelter and
protect yourself from flying debris.","Meteorological: Tornado Warning","Meteorological (Tornado, Hurricane, Floods)","Closed","","",""
"INC-1317","Meteorological: Tornado","3/15/2023 9:33 PM","San bernardino","United States","Tornado Warning
 
Category: ActivWeather
Severity: Extreme
Certainty: Observed

 
Source Location: NWS Las Vegas NV
Affected Counties: San Bernardino, CA
 
 
Assets may be Impacted
Locations in Affected Counties:
Ontario - B2 - Baker (Ontario, San Bernardino County, CA)
 
Description for target area(s):
 
Arizona:
Mohave
 
California:
San Bernardino
 
The National Weather Service in Las Vegas has issued a
 
* Tornado Warning for...
Southwestern Mohave County in northwestern Arizona...
East central San Bernardino County in southern California...
 
* Until 545 PM PDT/545 PM MST/.
 
* At 514 PM PDT/514 PM MST/, a severe thunderstorm capable of
producing a tornado was located over Topock, moving east at 20 mph.
 
HAZARD...Tornado and quarter size hail.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This tornadic thunderstorm will remain over mainly rural areas of
southwestern Mohave and east central San Bernardino Counties.
 
This includes the following roads...
Interstate 40 in Arizona between mile markers 0 and 16.
Interstate 40 in California between mile markers 148 and 155.
 
TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.
 
Bulletin Issued: 8:15 PM EDT on March 15
Event Ends: 8:45 PM EDT on March 15","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-0974","Meteorological: Tornado","3/30/2022 7:59 AM","Springdale","United States","Media sources are reporting a possible tornado may have touched down at multiple locations across Springdale. There were no initial reports of injuries. Damage has been reported to multiple structures including George Elementary School and a commercial warehouse. Utility poles, power lines, and debris are scattered across the area. Power outages are impacting over 10,000 customers. Expect associated disruptions.","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1095","Meteorological: Flooding","8/8/2022 10:15 AM","Seoul","South Korea","Media sources are reporting flooding in Seoul and the surrounding areas caused by heavy rains. Updates indicate that at least eight people have been killed, five in Seoul and three in Gyeonggi province. Additionally, at least nine people were reported to be injured while six others are missing. Flooding was indicated in multiple areas across the city including the Gwanak and Gangnam districts. Six subway stations in Seoul were flooded, including Isu Station, Dongjak Station, Sindorim Station, and Gaebong Station, as well as one station in Incheon. Subway services throughout Seoul were disrupted on Monday night.

Multiple roads throughout Seoul were flooded, including Gyeongbu Expressway, Yeouidaebang-ro, Nambu Beltway, Eonju-ro Gaepo Underground Driveway, Teheran-ro, Songpa-daero Garak Market Intersection, Yangjae-daero Underpass, Bongcheon-ro, and Gangnam-daero. Emergency crews have responded to multiple reports of vehicles being submerged or swept away.

An evacuation notice was issued for the Dorimcheon area in Gwanak after a river overflowed in the area. Landslide warning were previously issued for Dongjak, Yongsan, Mapo, and Seodaemun districts. Elsewhere, sources indicate that flooding advisories were issued for multiple bridges, including Jugnang Bridge and Ogeum Bridge, due to rising river levels. Expect associated disruptions across flood-affected areas.","Meteorological: Flooding","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1044","Meteorological: Flooding","6/23/2022 7:57 AM","Southern Guangdong","China","Media sources are reporting widespread flooding affecting multiple cities in southern Guangdong. Flooding has been reported in Shenzhen, Guangzhou, Foshan, Qingyuan, and Zhongsan. At least 500,000 people have been evacuated from the area. At least 1,729 houses have been damaged or destroyed. A 'Level 1'response, the highest response level available, has been declared for the area. Expect associated disruptions in the area.","Meteorological: Flooding","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1206","Blockades along motorways countrywide due to brazilian election results","10/31/2022 2:59 PM","Countrywide","Brazil","Continue to plan journeys accounting for ongoing blockades along motorways in at least ten states in the coming hours. Since late 30 October, truckers and supporters of President Jair Bolsonaro have blocked motorways in the capital Brasilia and Goias, Mato Grosso, Minas Gerais, Para, Parana, Rio de Janeiro, Rio Grande do Sul and Santa Catarina states. The roadblocks have caused significant traffic disruption, with lines of vehicles several miles long reported at some roadblocks. Demonstrators are protesting the run-off election results, in which former president Luiz Inacio ?Lula? da Silva was declared president-elect","Transportation: Roadway Closure","Transportation Infrastructure (Road, Waterways, Rail, Air)","Closed","","","Country"
"INC-1290","Heavy snow warning in Tokyo","2/9/2023 10:45 PM","","","Heavy snow warning has been issued to 23 districts and Tama-area of Tokyo, Saitama, and Nagao prefectures.
Accumulation of snow is expected, which can cause transport disruptions.","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Market"
"INC-0986","Meteorological: Tornado","5/11/2022 9:51 PM","Minnesota","United States","Minnesota:
Carver, Hennepin
 
The National Weather Service in the Twin Cities has issued a
 
* Tornado Warning for...
Southwestern Hennepin County in east central Minnesota...
Carver County in east central Minnesota...
 
* Until 815 PM CDT.
 
* At 741 PM CDT, a severe thunderstorm capable of producing a tornado
was located over Waconia, or 23 miles south of Buffalo, moving
northeast at 55 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
St. Bonifacius around 750 PM CDT.
Chaska, Chanhassen, Mound, Victoria and Minnetrista around 755 PM
CDT.
Orono, Wayzata and Excelsior around 800 PM CDT.
 
Other locations in the path of this tornadic thunderstorm include
Eden Prairie, Minnetonka and Plymouth.
 
TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.
 
Bulletin Issued: 8:41 PM EDT on May 11
Event Ends: 9:15 PM EDT on May 11","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-1034","Meteorological: Tornado","6/19/2022 3:19 AM","Fo Shan Shi","China","Media sources are reporting a tornado has touched down at an unspecified location in the Yayao area of Fo Shan Shi. There were no initial reports of injuries. Limited structural damage, including to small power lines, has been observed. Expect associated disruptions in the area.","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1155","Other: State of Emergency","9/23/2022 5:47 PM","Northern Florida","United States","Sources are reporting that a state of emergency has been declared by Governor Ron DeSantis for 24 counties in southern Florida in anticipation of the potential landfall of Tropical Depression 9. The storm is expected to strengthen into a possible Category 3 hurricane over the next few days, with landfall anticipated in southern Florida on Wednesday, September 28.   The declaration has been made to increase accessibility to emergency resources and to activate the Florida National Guard.

Counties included in this declaration are as follows:

- Brevard
- Broward
- Charlotte
- Collier
- DeSoto
- Glades
- Hardee
- Hendry
- Highlands
- Hillsborough
- Indian River
- Lee
- Manatee
- Martin
- Miami-Dade
- Monroe
- Okeechobee
- Osceola
- Palm Beach
- Pasco
- Pinellas
- Polk
- Sarasota
- St. Lucie","Other: State of Emergency","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1060","Meteorological: Tornado","7/16/2022 5:40 PM","Mecklenburg, VA","USA","Virginia:
Mecklenburg
 
The National Weather Service in Wakefield has issued a
 
* Tornado Warning for...
Southeastern Mecklenburg County in south central Virginia...
 
* Until 500 PM EDT.
 
* At 425 PM EDT, a severe thunderstorm capable of producing a tornado
was located near Clarksville, or 13 miles south of Chase City,
moving east at 30 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Boydton around 435 PM EDT.
 
Other locations impacted by this tornadic thunderstorm include
Richardson, Beechwood, Keats, John H Kerr Dam, Finchley, Eppes Fork,
John H Kerr Reservoir, Baskerville, Palmer Springs and Skipwith.
 
TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.
 
Please report severe weather by calling 757-899-2415, posting to the
NWS Wakefield Facebook page, or using Twitter @NWSWAKEFIELDVA.
 
Bulletin Issued: 4:26 PM EDT on July 16
Event Ends: 5:00 PM EDT on July 16","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-0807","Transportation: Lockdown in India","11/18/2021 2:00 PM","New Delhi, Delhi","India","On Tuesday, the air quality index (AQI) for most reporting stations in and around Delhi remained at either Very Unhealthy or Hazardous levels as the region continues to experience a sharp seasonal increase in air pollution. The government of Delhi closed schools until further notice, banned some construction work until November 21, and, along with the Supreme Court, is advising businesses in Delhi to allow remote work. Work-from-home plans and some traffic restrictions have also been implemented in the neighboring states of Haryana and Uttar Pradesh. Most coal-burning and other thermal power plants within 300 kilometers (186 miles) of Delhi have reportedly been closed until November 30, some industrial facilities using fuel sources other than natural gas may be required to close, cargo trucks carrying nonessential goods have been restricted from entering Delhi, and restrictions are in place on diesel vehicles more than ten years old and gasoline vehicles more than 15 years old until November 21, according to media reports. Hospitals in Delhi have reported an uptick in patients experiencing respiratory issues, and authorities are advising people to limit time spent outside. The Supreme Court will meet again on the pollution topic on Wednesday, and the Delhi government is reportedly expected to propose a lockdown for the coming weekend, along with a week-long extension of the advisory for remote work. 

Assessment: Air quality generally declines drastically in Delhi during the winter months due to weather conditions, factory smoke, emissions from vehicles, and the use of fire to clear agricultural fields in the surrounding regions. In addition to the aforementioned anti-pollution measures, many types of firecrackers were recently banned during Diwali and other festivals, and the government last year placed additional restrictions on establishing new manufacturing facilities in Delhi. An improvement in conditions from the current air quality deterioration is not expected until later this week. Those with operations in Delhi are advised to be aware of the potential for weekend lockdown restrictions or other measures that could be implemented in the coming days and associated disruptions.
 
You have received this e-mail based on an alert profile you or your administrator setup. To modify alert profiles, login using your UserID and password at https://solutions.n-c4.net","Transportation: Lockdown in India","Health (Epidemic, Pandemic, Medical, Public health)","Closed","","","Regional"
"INC-1116","Meteorological: Flooding","9/5/2022 3:52 AM","Bengaluru","India","Media sources are reporting flooding affecting multiple locations throughout Bengaluru due to heavy rain. Multiple unspecified roads have been inundated. One person has been rescued. No further details are currently available. Expect associated disruptions.","Meteorological: Flooding","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-0987","Tension Russia - Finland/Sweden","5/13/2022 11:42 AM","","Finland","12 May - Finland and Sweden announced their intention to join NATO. Russia see this step as a threat and said they ""will be forced to take retaliatory steps, both of a military-technical and other nature, in order to stop the threats to its national security that arise in this regard"".","","Other","Closed","","","Country"
"INC-1250","Meteorological: Tornado","12/14/2022 9:06 PM","New Orleans","USA","New Orleans: Severe thunderstorms expected over parts of the Gulf Coast States    this afternoon and tonight
 * LOCATIONS...
     Southern Mississippi
     Southern Alabama
     Southeast Louisiana
     The Western Florida Panhandle

   * HAZARDS...
     Several tornadoes, a few intense
     Isolated damaging winds

   * SUMMARY...
     Strong tornadoes and damaging thunderstorm gusts are expected
     this afternoon and evening across southern parts of Louisiana,
     Mississippi, and Alabama, and portions of the Florida Panhandle.
   Review your severe weather safety procedures for the possibility of dangerous weather today. Stay tuned to NOAA Weather Radio, weather.gov, or other media for watches and warnings. A tornado watch means that conditions are favorable for tornadoes to form during the next several hours. If a tornado warning is issued for your area, move to a place of safety, ideally in a basement or interior room on the lowest floor of a sturdy building.","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1129","Meteorological: Tornado","9/8/2022 9:51 AM","Alachua, FL","United States","Tornado Warning
 
Category: ActivWeather
Severity: Extreme
Certainty: Observed

 
Source Location: NWS Jacksonville FL
Affected Counties: Alachua, FL
 
 
Assets may be Impacted
Locations in Affected Counties:
Gainesville (Gainesville, Alachua County, FL)
 
Description for target area(s):
 
Florida:
Alachua, Marion
 
The National Weather Service in Jacksonville has issued a
 
* Tornado Warning for...
Southwestern Alachua County in northern Florida...
Northwestern Marion County in northern Florida...
 
* Until 900 AM EDT.
 
* At 826 AM EDT, a severe thunderstorm capable of producing a tornado
was located over Williston, moving northeast at 20 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This tornadic thunderstorm will remain over mainly rural areas of
southwestern Alachua and northwestern Marion Counties.
 
TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.
 
Heavy rainfall may hide this tornado. Do not wait to see or hear the
tornado. TAKE COVER NOW!
 
To report severe weather contact your nearest law enforcement agency.
They will send your report to the National Weather Service office in
Jacksonville.
 
Bulletin Issued: 8:26 AM EDT on September 8
Event Ends: 9:00 AM EDT on September 8","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1063","Other: Evacuation","7/18/2022 8:56 PM","Kitakyushu","Japan","Media sources are reporting that local officials have ordered 107,302 people to evacuate from from seven unspecified wards of Kitakyushu due to the risk of landslides. Reports indicate that 120 shelters have been opened to receive evacuees. The expected duration of the evacuation has not been specified.","Other: Evacuation","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1207","","11/1/2022 9:07 AM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-1209","","11/3/2022 4:34 PM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-0872","","12/28/2021 2:34 PM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-1226","","11/24/2022 5:33 PM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-1005","","5/20/2022 2:31 PM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-1264","","1/16/2023 2:48 PM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-1198","","10/22/2022 10:14 PM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-1219","","11/16/2022 4:57 PM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-1188","","10/14/2022 2:03 PM","Varginha","","","","","Monitoring","","Varginha - B1",""
"INC-1293","","2/13/2023 4:52 AM","Eindhoven","","","","","Monitoring","","Demo Site",""
"INC-1304","","2/23/2023 11:44 AM","Eindhoven","","","","","Monitoring","","Demo Site",""
"INC-1300","","2/17/2023 11:07 AM","Eindhoven","","","","","Monitoring","","Demo Site",""
"INC-1307","","3/6/2023 8:10 PM","Malvern","","","","","Monitoring","","Malvern - B2",""
"INC-1312","","3/10/2023 3:37 PM","Rochester (US-NY)","","","","","Monitoring","","Rochester - B5 NY",""
"INC-1309","","3/7/2023 1:54 AM","Mercerville","","","","","Monitoring","","Hamilton (Mercerville)",""
"INC-1308","","3/7/2023 1:03 AM","Eagan","","","","","Monitoring","","Eagan - B1",""
"INC-0973","","3/29/2022 11:52 AM","","","","","","Monitoring","","Middle East Turkey and Africa",""
"INC-0971","","3/24/2022 9:44 AM","","","","","","Monitoring","","Middle East Turkey and Africa",""
"INC-0975","Energy limitations","3/30/2022 10:30 AM","","Netherlands","I want to inform you, and perhaps you are aware of it, that Germany has announced today (source: Reuters) and The Netherlands will do coming Saturday, to start reducing gas consumption by consumers and businesses actively with the potential risk of gas delivery limitations by Russia. 
 
Based on the preliminary work and related priorities, consider taking the relevant measures that fall within your scope of work, probably aligned with facility and real-estate management, to reduce gas consumption without affecting our operations as such.","","Utilities (Power, Water, Natural Gas, Public Telecom)","Closed","","Europe","Market"
"INC-1249","","12/13/2022 1:00 PM","","","","","","Monitoring","","Europe",""
"INC-1248","","12/13/2022 12:55 PM","","","","","","Monitoring","","Europe",""
"INC-1221","","11/17/2022 11:41 AM","","","","","","Monitoring","","Europe",""
"INC-1192","","10/18/2022 8:48 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-1195","","10/18/2022 9:06 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-1194","","10/18/2022 9:03 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0784","","11/2/2021 10:14 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0738","","10/4/2021 2:16 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0457","","11/25/2020 3:12 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0764","","10/20/2021 2:35 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0765","","10/22/2021 7:59 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0766","","10/22/2021 8:05 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0767","","10/22/2021 8:08 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0875","","1/3/2022 11:36 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0761","","10/15/2021 10:44 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0498","","1/14/2021 11:41 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0753","","10/14/2021 2:55 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0754","","10/14/2021 3:00 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0755","","10/14/2021 3:02 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0756","","10/14/2021 3:04 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0757","","10/14/2021 3:18 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0781","","10/29/2021 8:14 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0782","","10/29/2021 8:17 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0788","","11/8/2021 4:26 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-1203","","10/27/2022 1:49 PM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0842","","12/6/2021 10:56 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0843","","12/6/2021 11:58 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-1193","","10/18/2022 8:54 AM","","","","","","Monitoring","","Global Contact Centers",""
"INC-0811","","11/19/2021 3:54 AM","","","","","","Monitoring","","Service Parts Supply Chain (SPS)",""
"INC-0259","","12/4/2019 9:07 AM","Lockbourne","United States","","","Continuity (crisis)","Closed","","Fedex Supply Chain - Lockbourne (Columbus), OH","Site"
"INC-0506","U.S. ATOS Arlington Texas Data Center Shutdown","2/16/2021 11:00 PM","Irving","United States","Millions are in the dark from Texas to Nebraska during record-breaking cold winter snow & ice storm. Another storm is taking shape across the nation?s southern tier, aiming for some of the same hard hit areas Tuesday night through the end of the week. Some people in Texas have been in the dark for at least 24 hours. Dallas, Houston, and Oklahoma City all posted their lowest temperatures since at least 1989 Tuesday morning.

About 10 to 15% of outages are expected to be restored by mid-afternoon, KTRK reported, but the majority of households experiencing outages were likely to go without electricity again for all of Tuesday. Some outages could last for days, KTRK reported.
One Texas utility warned that the grid manager was ""unable to predict when grid conditions will stabilize. All customers are urged to be prepared for (continued) extended outages.""","","Utilities (Power, Water, Natural Gas, Public Telecom)","Closed","","ATOS Regional DC - TX","Site"
"INC-1332","","4/6/2023 10:06 AM","","","","","","Monitoring","","CoE BCR",""
"INC-1333","","4/6/2023 10:10 AM","","","","","","Monitoring","","CoE BCR",""
"INC-0673","","8/20/2021 6:05 AM","","","","","","Monitoring","","CoE BCR",""
"INC-1059","","7/15/2022 11:56 AM","","","","","","Monitoring","","CoE BCR",""
"INC-1042","","6/22/2022 12:28 PM","","","","","","Monitoring","","CoE BCR",""
"INC-0277","","1/24/2020 4:22 PM","Toronto","Canada","","","Continuity (crisis)","Closed","","TelePerformance - Toronto","Site"
"INC-0275","Corona Outbreak","1/20/2020 4:00 AM","Wuhan","China","Recently, a new Corona virus broke out in Wuhan, China, which has killed 17 people and infected over 500 others. Via infected travelers, the virus migrated in small numbers (see in between brackets) to other countries as well, including United States (4), Thailand (1)  South Korea (1), Taiwan and Japan (1). The Greater China Emergency Health & Safety team has issued a communication about the virus to all market employees with directives to prevent contamination by the virus","","Health (Epidemic, Pandemic, Medical, Public health)","Closed","","Wuhan - PingAn Financial Ctr.","Group"
"INC-1186","","10/13/2022 3:15 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0289","Site visit of confirmed Corona technicians","3/11/2020 9:00 AM","Boblingen","Germany","because of two confirmed Corona cases of two (external) Service Technicians who did visit our site","","Continuity (crisis)","Closed","","Boblingen","Site"
"INC-0519","","3/5/2021 12:52 PM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0522","","3/15/2021 10:26 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0520","","3/8/2021 1:38 PM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0533","","3/25/2021 7:12 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0970","","3/23/2022 11:45 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0965","","3/21/2022 12:59 PM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0140","Fire in the production resulting partial failure of a production area.","12/3/2018 12:45 PM","Boblingen","Germany","Early this morning 20-12-2018 the emergency alarm was activated. Due to a technical issue with the valve of the fire sprinkling system the system was activated and water was flooding parts of the Intellivue Monitoring manufacturing area. 
Activities from the BCP that have already been performed: 
Safety First(1.01): Every body was safely evacuated from the building; 
Assess the overall situation (1.02): Conclusion made that only partial failure of a production area; 
Identify scale of damage (1.03): The damage to the building and equipment is limited and it is safe to enter the building again. The Fire Evacuation Committee and Local Authorities allowed the restore of work activities in the plant to start. 
Agree on Continuity Strategy (1.04): Based on the damage report from previous step it has been decided to restore damaged assets. 

The Crisis Management Team activated the BCP (recovery procedure 1.05 ? Asset Restoration and or Replacement) to ensure recovery of the production lines to ensure delivered of the products within the required RTO (10 weeks).","","Continuity (crisis)","Closed","","Boblingen","Site"
"INC-0524","","3/16/2021 11:06 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0344","","5/14/2020 11:33 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0339","Two Philips employees have been positive tested on Corona","3/25/2020 9:00 AM","Boblingen","Germany","two positive tested Corona employees, one in Manufacturing, other in R&D (was already isolated)","","Health (Epidemic, Pandemic, Medical, Public health)","Closed","","Boblingen","Site"
"INC-0340","Global Corona Pandemie","3/2/2020 9:00 AM","Boblingen","Germany","Global Corona Pandemie impacts manufacturing Boeblingen, all processes, all employees, suppliers and customers","","Health (Epidemic, Pandemic, Medical, Public health)","Closed","","Boblingen","Site"
"INC-0968","","3/23/2022 11:25 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-1175","","10/7/2022 8:13 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-1185","","10/13/2022 3:09 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0961","","3/18/2022 10:44 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-1174","","10/7/2022 8:12 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-1176","","10/7/2022 8:14 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-1173","","10/7/2022 8:10 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0958","","3/14/2022 11:24 AM","Boblingen","","","","","Monitoring","","Boblingen",""
"INC-0502","Nor'easter Snow storm","2/1/2021 1:44 PM","Cambridge","United States","Nor'easter snow storm approaching from the south","","Meteorological (Tornado, Hurricane, Floods)","Closed","","Cambridge - B3 Crossing","Regional"
"INC-1070","Tornado Warning for Middlesex, MA","7/21/2022 4:40 PM","Cambridge","USA","Tornado Warning
 
Category: ActivWeather
Severity: Extreme
Certainty: Observed

 
Source Location: NWS Boston/Norton MA
Affected Counties: Middlesex, MA
 
 
Assets may be Impacted
Locations in Affected Counties:
Cambridge - B3 Crossing (East Cambridge, Middlesex County, MA)
Framingham - B1 - Lawrence (Framingham, Middlesex County, MA)
 
Description for target area(s):
 
Massachusetts:
Franklin, Middlesex, Worcester
 
The National Weather Service in Boston/Norton has issued a
 
* Tornado Warning for...
Northern Worcester County in central Massachusetts...
Northwestern Middlesex County in northeastern Massachusetts...
East central Franklin County in western Massachusetts...
 
* Until 415 PM EDT.
 
* At 317 PM EDT, a severe thunderstorm capable of producing a tornado
was located near Wendell, or near Orange, moving east at 30 mph.
 
HAZARD...Tornado and half dollar size hail.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Orange around 330 PM EDT.
Athol around 335 PM EDT.
Phillipston and Petersham around 340 PM EDT.
Templeton around 345 PM EDT.
Winchendon around 350 PM EDT.
Gardner around 355 PM EDT.
Westminster and Ashburnham around 410 PM EDT.
Fitchburg, Townsend and Ashby around 415 PM EDT.
 
TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.
 
Bulletin Issued: 3:17 PM EDT on July 21
Event Ends: 4:15 PM EDT on July 21","Tornado Warning for Middlesex, MA","Meteorological (Tornado, Hurricane, Floods)","Closed","","Cambridge - B3 Crossing","Regional"
"INC-1223","","11/21/2022 3:57 PM","Cambridge","","","","","Monitoring","","Cambridge - B3 Crossing",""
